127.0.0.1 - - [12/Aug/2020:16:59:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/sub_menu_logo1.png HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/facebook.png HTTP/1.1" 200 5345
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/logo.png HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/instargram.png HTTP/1.1" 200 9367
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/quick_img_off.png HTTP/1.1" 200 4827
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/css/homepage2.css HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/banner2.jpg HTTP/1.1" 200 611093
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/eventpicture.jpg HTTP/1.1" 200 54765
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/banner1.jpg HTTP/1.1" 200 431816
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/banner3.jpg HTTP/1.1" 200 410126
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /Goncha/resources/images/sub_menu_logo2.png HTTP/1.1" 200 15869
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2020:16:59:43 +0900] "GET /Goncha/resources/images/quick_img_on.png HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [12/Aug/2020:17:06:18 +0900] "GET /Goncha/MainHome.jsp HTTP/1.1" 200 6275
